path,meta_description,open_graph,twitter_cards,canonical_link
austin-portfolio-deploy/enterprise-b2b-portal.html,False,False,False,False
austin-portfolio-deploy/executive-intelligence-center.html,True,False,False,False
austin-portfolio-deploy/enhanced-index.html,True,False,False,False
austin-portfolio-deploy/developer-portal.html,False,False,False,False
austin-portfolio-deploy/grizzlies-nba-dashboard.html,False,False,False,False
austin-portfolio-deploy/hawkeye-demo.html,True,False,False,False
austin-portfolio-deploy/hawkeye-innovations-dashboard.html,True,False,False,False
austin-portfolio-deploy/index-blaze-ultimate.html,True,False,False,False
austin-portfolio-deploy/index.html,True,False,False,False
austin-portfolio-deploy/login.html,True,False,False,False
austin-portfolio-deploy/nil-calculator-advanced.html,True,False,False,False
austin-portfolio-deploy/perfect-game-enhanced.html,False,False,False,False
austin-portfolio-deploy/perfect-game-dashboard-2025.html,False,False,False,False
austin-portfolio-deploy/pricing.html,True,False,False,False
austin-portfolio-deploy/performance-monitor.html,True,False,False,False
austin-portfolio-deploy/platform-demo.html,False,False,False,False
austin-portfolio-deploy/privacy.html,False,False,False,False
austin-portfolio-deploy/realtime-multimodal-dashboard.html,False,False,False,False
austin-portfolio-deploy/realtime-multimodal-dashboard-enhanced.html,True,False,False,False
austin-portfolio-deploy/roi-calculator.html,True,False,False,False
austin-portfolio-deploy/sec-football-enhanced.html,False,False,False,False
austin-portfolio-deploy/signup.html,True,False,False,False
austin-portfolio-deploy/sec-nil-analytics.html,True,False,False,False
austin-portfolio-deploy/sportsdataio-championship-dashboard.html,True,False,False,False
austin-portfolio-deploy/sports-intelligence-dashboard.html,False,False,False,False
austin-portfolio-deploy/sportsdataio-2025-live-dashboard.html,False,False,False,False
austin-portfolio-deploy/sportsdataio-live.html,False,False,False,False
austin-portfolio-deploy/sportsdataio-2024-championship.html,False,False,False,False
austin-portfolio-deploy/sportsdataio-test.html,False,False,False,False
austin-portfolio-deploy/test-platform.html,False,False,False,False
austin-portfolio-deploy/terms.html,False,False,False,False
austin-portfolio-deploy/video-intelligence-upload.html,False,False,False,False
austin-portfolio-deploy/3d/visualization.html,False,False,False,False
austin-portfolio-deploy/dashboard/unified.html,False,False,False,False
austin-portfolio-deploy/executive/dashboard.html,False,False,False,False
austin-portfolio-deploy/executive/index.html,True,False,False,False
austin-portfolio-deploy/executive/analytics.html,False,False,False,False
austin-portfolio-deploy/executive/reports.html,False,False,False,False
api/index.html,False,False,False,False
blaze-intelligence-os-v2/index.html,True,True,False,False
blaze-vision-ai/apps/coach-ui/index.html,True,False,False,False
cardinals/index.html,False,False,False,False
reports/monthly_nil_3_20250824.html,False,False,False,False
reports/weekly_performance_1_20250824.html,False,False,False,False
reports/weekly_performance_2_20250824.html,False,False,False,False
site/pages/dashboards/blaze-unified-analytics.html,True,False,False,False
site/pages/dashboards/blaze-enhanced-dashboard.html,False,False,False,False
site/pages/dashboards/blaze-enterprise-dashboard.html,False,False,False,False
site/pages/mobile/blaze-intelligence-enhanced-apex-mobile-complete.html,True,False,False,False
site/pages/mobile/blaze-intelligence-apex-championship-mobile.html,True,False,False,False
site/pages/mobile/blaze-intelligence-unified-championship-mobile.html,True,False,False,False
site/pages/mobile/blaze-intelligence-unified-mobile-app.html,False,False,False,False
site/pages/mobile/blaze-mobile-app-prototype.html,True,False,False,False
site/pages/mobile/blaze-intelligence-mobile-platform-complete.html,False,False,False,False
site/pages/platforms/blaze-api-docs.html,False,False,False,False
site/pages/platforms/blaze-ar-neural-coach.html,True,False,False,False
site/pages/platforms/blaze-client-portal.html,False,False,False,False
site/pages/platforms/blaze-unified-index.html,True,True,True,True
site/pages/platforms/blaze-intelligence-ultimate-platform.html,True,False,False,False
site/pages/platforms/blaze-vision-coaching-interface.html,False,False,False,False
site/pages/platforms/blaze-neural-coach.html,True,False,False,False
site/pages/platforms/blaze-portfolio-showcase-enhanced.html,True,False,False,False
site/pages/platforms/blaze-command-center.html,False,False,False,False
site/pages/platforms/blaze-visual-examples.html,False,False,False,False
